ruta,archivo,categoria,bytes,md5,fecha_ingreso
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05697_conflictos_santuario.xlsx,05697_conflictos_santuario.xlsx,A,551355,2a4d77008e79cbac6d17e65c4098d391,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05761_conflictos_sopetran.xlsx,05761_conflictos_sopetran.xlsx,A,818189,8d92479c90ebdfb2619b9f91c84d005d,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05004_conflictos_abriaqui.xlsx,05004_conflictos_abriaqui.xlsx,A,119383,4cc9ab0a3e4e6607b4633c1c36a95530,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05038_conflictos_angostura.xlsx,05038_conflictos_angostura.xlsx,A,393257,b3436cd505c59063d095ce83601c7bff,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05044_conflictos_anza.xlsx,05044_conflictos_anza.xlsx,A,190127,5250cd6b7edb2055c0eb9897f0c23703,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05125_conflictos_caicedo.xlsx,05125_conflictos_caicedo.xlsx,A,247792,702d5da44f078646f53204d5bfac438d,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05145_conflictos_caramanta.xlsx,05145_conflictos_caramanta.xlsx,A,260097,68bd743753b5f120881a0e96a008478e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05250_conflictos_el_bagre.xlsx,05250_conflictos_el_bagre.xlsx,A,461276,0702a48c66bd95965aa6da383d9b3d9b,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05310_conflictos_gomez_plata.xlsx,05310_conflictos_gomez_plata.xlsx,A,378310,ae6bc1a7a420f66f51f017abfb8c0bb5,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05353_conflictos_hispania.xlsx,05353_conflictos_hispania.xlsx,A,110350,c9d47d69d195a074be2657f8a7903206,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05495_conflictos_nechi.xlsx,05495_conflictos_nechi.xlsx,A,196346,97b78008793d307d90e0bbc3f773069a,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05576_conflictos_pueblo_rico.xlsx,05576_conflictos_pueblo_rico.xlsx,A,182664,31e963b9db3e362aab6fe627f5646f4d,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/05585_conflictos_puerto_nare.xlsx,05585_conflictos_puerto_nare.xlsx,A,174950,67839f63716a0f6ae285a240bb41f2f5,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_5/Observaciones grupo 5.docx,Observaciones grupo 5.docx,B,130180,a49da05307dddfca6dbfdf98f84b74d4,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05138_conflictos_cañasgordas.xlsx,05138_conflictos_cañasgordas.xlsx,A,599313,9a5209998322c7669b80c53a69a36bec,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05148_conflictos_elcarmen.xlsx,05148_conflictos_elcarmen.xlsx,A,1379602,a679cf669bed4fcbb78c680151245293,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05154_conflictos_caucasia.xlsx,05154_conflictos_caucasia.xlsx,A,642388,63b2e810a10ad0488ba232680e6f5544,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05190_conflictos_cisneros.xlsx,05190_conflictos_cisneros.xlsx,A,132122,8bb876f2e3924c758caa0b41d1f5efd5,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05306_conflictos_giraldo.xlsx,05306_conflictos_giraldo.xlsx,A,153357,b3468094befb0a3dda663cc13f3f04c6,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05318_conflictos_guarne.xlsx,05318_conflictos_guarne.xlsx,A,1374346,0d83c42c7e5a937a7d64bcd1334c1be6,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05368_conflictos_jerico.xlsx,05368_conflictos_jerico.xlsx,A,301927,4a92111c9b35027662e1634724351494,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05480_conflictos_mutata.xlsx,05480_conflictos_mutata.xlsx,A,243419,16db93e5abb1eee77d1377ef464d07cb,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05628_conflictos_sabanalarga.xlsx,05628_conflictos_sabanalarga.xlsx,A,412507,016015f9b804b18813397ca6d2af0d95,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05652_conflictos_sanfrancisco.xlsx,05652_conflictos_sanfrancisco.xlsx,A,277686,0888ad2661f89e13df06166e61d2d992,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05809_conflictos_titiribi.xlsx,05809_conflictos_titiribi.xlsx,A,319277,26bf1f3268563409b7b6fa111bf8e13f,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/05837_conflictos_turbo.xlsx,05837_conflictos_turbo.xlsx,A,1396365,6212b1811d43fa1326c9b822b6f4778c,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_6/Observaciones grupo 6.docx,Observaciones grupo 6.docx,B,123896,098e89dbefce89bebb81b107e7f22c3d,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05059_conflictos_armenia.xlsx,05059_conflictos_armenia.xlsx,A,154729,c5e7e23649d85e6498b241016649bc7c,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05129_conflictos_caldas.xlsx,05129_conflictos_caldas.xlsx,A,525958,82d4cb9d9ec5026da02c1b922c351978,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05150_conflictos_carolina.xlsx,05150_conflictos_carolina.xlsx,A,115421,48b1974001cfcf9ade825959cedd882a,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05425_conflictos_maceo.xlsx,05425_conflictos_maceo.xlsx,A,310190,2afb73eb2e9bbc1476c61ab8b8f42a3e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05543_conflictos_peque.xlsx,05543_conflictos_peque.xlsx,A,303706,b14816eae82e68cd84fd3490c7558e0b,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05670_conflictos_sanroque.xlsx,05670_conflictos_sanroque.xlsx,A,408734,2c94346070fd1c8fa8c7bdfd3dc34d39,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05819_conflictos_toledo.xlsx,05819_conflictos_toledo.xlsx,A,220840,e330d082ebb55880d19b40565af41852,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05842_conflictos_uramita.xlsx,05842_conflictos_uramita.xlsx,A,162941,8c69a555442dd2c219c0712940732ce0,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05858_conflictos_vegachi.xlsx,05858_conflictos_vegachi.xlsx,A,212081,75ca557ad1adc31be842e459b3d5976f,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_7/05895_conflictos_zaragoza.xlsx,05895_conflictos_zaragoza.xlsx,A,326665,e0291b8b293f1b685328a585421cfe9e,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_8/05042_conflictos_santafe_ant.xlsx,05042_conflictos_santafe_ant.xlsx,A,771886,c357f29c18f75aee2e8ed140066f335f,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_8/05051_conflictos_arboletes.xlsx,05051_conflictos_arboletes.xlsx,A,471458,fad65c86ac7f6d26c1db87712958ddcc,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_8/05101_conflictos_ciudad_bolivar.xlsx,05101_conflictos_ciudad_bolivar.xlsx,A,353547,2e29f403593f6756a78776107bec729c,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_8/05264_conflictos_entrerrios.xlsx,05264_conflictos_entrerrios.xlsx,A,255431,a007698ed8f0ae65c0801859c42809d4,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_8/05490_conflictos_necocli.xlsx,05490_conflictos_necocli.xlsx,A,792410,46c4500bec2bdead0b87645afe12e369,2026-09-16
